Elapsed_Time_s,Timestamp,T1_C,T2_C,Skew_ms,Delta_T_C
31.915,2026-03-06T12:08:03.290139,-9.4531,-9.2344,0.854,-0.2188
32.148,2026-03-06T12:08:03.524107,-9.4531,-9.2266,0.854,-0.2266
32.383,2026-03-06T12:08:03.758872,-9.4531,-9.2344,0.855,-0.2188
32.620,2026-03-06T12:08:03.995385,-9.4531,-9.2266,0.854,-0.2266
32.856,2026-03-06T12:08:04.231852,-9.4453,-9.2344,0.885,-0.2109
33.095,2026-03-06T12:08:04.470241,-9.4531,-9.2266,0.855,-0.2266
33.317,2026-03-06T12:08:04.692486,-9.4531,-9.2266,0.854,-0.2266
33.560,2026-03-06T12:08:04.935987,-9.4531,-9.2344,0.854,-0.2188
33.811,2026-03-06T12:08:05.186288,-9.4531,-9.2266,0.885,-0.2266
34.046,2026-03-06T12:08:05.421136,-9.4531,-9.2266,0.855,-0.2266
34.280,2026-03-06T12:08:05.655346,-9.4531,-9.2266,0.854,-0.2266
34.505,2026-03-06T12:08:05.880584,-9.4531,-9.2266,1.160,-0.2266
34.748,2026-03-06T12:08:06.123236,-9.4531,-9.2266,0.854,-0.2266
34.987,2026-03-06T12:08:06.362556,-9.4531,-9.2266,0.854,-0.2266
35.225,2026-03-06T12:08:06.600960,-9.4531,-9.2266,0.854,-0.2266
35.463,2026-03-06T12:08:06.838493,-9.4531,-9.2266,0.885,-0.2266
35.691,2026-03-06T12:08:07.066314,-9.4531,-9.2266,0.854,-0.2266
35.929,2026-03-06T12:08:07.304888,-9.4531,-9.2188,0.854,-0.2344
36.170,2026-03-06T12:08:07.545535,-9.4453,-9.2188,0.855,-0.2266
36.407,2026-03-06T12:08:07.782505,-9.4531,-9.2188,0.854,-0.2344
36.644,2026-03-06T12:08:08.019564,-9.4531,-9.2188,0.854,-0.2344
36.864,2026-03-06T12:08:08.239294,-9.4453,-9.2188,0.854,-0.2266
37.109,2026-03-06T12:08:08.484828,-9.4453,-9.2188,1.007,-0.2266
37.355,2026-03-06T12:08:08.730899,-9.4453,-9.2188,0.854,-0.2266
37.595,2026-03-06T12:08:08.970486,-9.4453,-9.2188,0.854,-0.2266
37.832,2026-03-06T12:08:09.207999,-9.4453,-9.2188,1.404,-0.2266
38.053,2026-03-06T12:08:09.428298,-9.4453,-9.2188,0.855,-0.2266
38.290,2026-03-06T12:08:09.665274,-9.4453,-9.2188,0.854,-0.2266
38.528,2026-03-06T12:08:09.903859,-9.4453,-9.2266,0.855,-0.2188
38.769,2026-03-06T12:08:10.144692,-9.4453,-9.2188,0.854,-0.2266
39.011,2026-03-06T12:08:10.386772,-9.4453,-9.2188,0.854,-0.2266
39.233,2026-03-06T12:08:10.608139,-9.4531,-9.2188,0.854,-0.2344
39.488,2026-03-06T12:08:10.863766,-9.4453,-9.2188,0.854,-0.2266
39.714,2026-03-06T12:08:11.089321,-9.4453,-9.2188,0.854,-0.2266
39.951,2026-03-06T12:08:11.326830,-9.4453,-9.2188,0.854,-0.2266
40.192,2026-03-06T12:08:11.567376,-9.4453,-9.2188,0.854,-0.2266
40.416,2026-03-06T12:08:11.792041,-9.4453,-9.2188,0.854,-0.2266
40.657,2026-03-06T12:08:12.032581,-9.4453,-9.2188,0.854,-0.2266
40.897,2026-03-06T12:08:12.272781,-9.4375,-9.2188,0.854,-0.2188
41.145,2026-03-06T12:08:12.520653,-9.4453,-9.2188,0.854,-0.2266
41.376,2026-03-06T12:08:12.751183,-9.4453,-9.2188,0.885,-0.2266
41.595,2026-03-06T12:08:12.970922,-9.4375,-9.2109,0.885,-0.2266
41.836,2026-03-06T12:08:13.212018,-9.4453,-9.2109,0.824,-0.2344
42.079,2026-03-06T12:08:13.454212,-9.4375,-9.2188,0.854,-0.2188
42.320,2026-03-06T12:08:13.695578,-9.4375,-9.2188,0.854,-0.2188
42.558,2026-03-06T12:08:13.933650,-9.4453,-9.2188,0.854,-0.2266
42.783,2026-03-06T12:08:14.158800,-9.4297,-9.2109,0.854,-0.2188
43.026,2026-03-06T12:08:14.401182,-9.4375,-9.2109,0.854,-0.2266
43.263,2026-03-06T12:08:14.638693,-9.4453,-9.2188,0.854,-0.2266
43.503,2026-03-06T12:08:14.879032,-9.4375,-9.2188,0.824,-0.2188
43.741,2026-03-06T12:08:15.116598,-9.4453,-9.2109,0.855,-0.2344
43.960,2026-03-06T12:08:15.335876,-9.4375,-9.2188,0.854,-0.2188
44.202,2026-03-06T12:08:15.577168,-9.4375,-9.2109,0.854,-0.2266
44.449,2026-03-06T12:08:15.824290,-9.4375,-9.2109,0.854,-0.2266
44.685,2026-03-06T12:08:16.060746,-9.4375,-9.2188,0.854,-0.2188
44.922,2026-03-06T12:08:16.297942,-9.4375,-9.2109,0.854,-0.2266
45.142,2026-03-06T12:08:16.517488,-9.4375,-9.2109,0.854,-0.2266
45.386,2026-03-06T12:08:16.761864,-9.4375,-9.2188,0.854,-0.2188
45.629,2026-03-06T12:08:17.004913,-9.4375,-9.2188,0.854,-0.2188
45.870,2026-03-06T12:08:17.245738,-9.4297,-9.2188,1.099,-0.2109
46.119,2026-03-06T12:08:17.495014,-9.4297,-9.2109,0.854,-0.2188
46.334,2026-03-06T12:08:17.709847,-9.4297,-9.2109,0.885,-0.2188
46.568,2026-03-06T12:08:17.943796,-9.4297,-9.2109,0.855,-0.2188
46.808,2026-03-06T12:08:18.183474,-9.4297,-9.2188,0.854,-0.2109
47.051,2026-03-06T12:08:18.426448,-9.4375,-9.2109,0.824,-0.2266
47.292,2026-03-06T12:08:18.667940,-9.4297,-9.2109,0.824,-0.2188
47.516,2026-03-06T12:08:18.891633,-9.4297,-9.2109,0.854,-0.2188
47.756,2026-03-06T12:08:19.131900,-9.4297,-9.2188,0.854,-0.2109
48.000,2026-03-06T12:08:19.375633,-9.4375,-9.2109,0.854,-0.2266
48.235,2026-03-06T12:08:19.610528,-9.4375,-9.2109,0.854,-0.2266
48.472,2026-03-06T12:08:19.847975,-9.4297,-9.2188,0.854,-0.2109
48.691,2026-03-06T12:08:20.066220,-9.4297,-9.2109,0.854,-0.2188
48.930,2026-03-06T12:08:20.305774,-9.4297,-9.2109,0.854,-0.2188
49.168,2026-03-06T12:08:20.543764,-9.4297,-9.2109,0.854,-0.2188
49.407,2026-03-06T12:08:20.782475,-9.4297,-9.2109,0.854,-0.2188
49.644,2026-03-06T12:08:21.019363,-9.4297,-9.2109,0.854,-0.2188
49.875,2026-03-06T12:08:21.250438,-9.4297,-9.2109,0.885,-0.2188
50.103,2026-03-06T12:08:21.478831,-9.4297,-9.2109,0.885,-0.2188
50.341,2026-03-06T12:08:21.716906,-9.4297,-9.2109,0.885,-0.2188
